CODICE_VOLANTINO,ART_COD,FORECAST
23MB,APLIPHONE12128B,354.5178751505341
23NB,APLIPHONE12128B,655.3826770189957
23MC,APLIPHONE12128B,566.9396110282348
23MB,APLIPHONE12128GR,208.55464147897234
23MC,APLIPHONE12128GR,161.56838839590682
23MB,APLIPHONE12128RED,217.14674702501614
23MC,APLIPHONE12128RED,169.32408788769283
23MD,APLIPHONE13128B,290.29610410305827
23MA,APLIPHONE13128B,217.5827555589525
23NC,APLIPHONE13128B,344.82190029620926
23MD,APLIPHONE13128GR,217.46371941507698
23MA,APLIPHONE13128GR,120.65632754367022
23NC,APLIPHONE13128GR,322.91324484404106
23MD,APLIPHONE13128RED,221.07273376913315
23MA,APLIPHONE13128RED,135.5635579329698
23NC,APLIPHONE13128RED,327.75431135598706
23MB,APLIPHONE14128,1454.810484811479
23NB,APLIPHONE14128,1829.5434164386338
23MB,APLIPHONE14128P,400.34359092294096
23NB,APLIPHONE14128P,731.3131347779617
23MB,APLIPHONE14128W,720.6022807387332
23NB,APLIPHONE14128W,970.7378976081769
23MA,APLIPHONE14PLUS128,522.7796045180438
23MA,APLIPHONE14PLUS128RE,126.17345479318993
23MA,APLIPHONE14PLUS128Y,80.55757453926668
23MA,APLIPHONE15128,767.0211833460165
23NA,APLIPHONE15128,887.9363122694522
23NC,APLIPHONE15128,1156.2470315733435
23MC,APLIPHONE15128,1010.5550019256441
23MA,APLIPHONE15128P,283.54872418491794
23NA,APLIPHONE15128P,320.39332196814496
23NC,APLIPHONE15128P,488.7864695628165
23MC,APLIPHONE15128P,349.11128224478944
23MB,APLIPHONE15256,679.1757265938993
23MA,APLIPHONE15256,499.3615387896495
23NA,APLIPHONE15256,615.6479682425118
23MC,APLIPHONE15256,572.4416188197222
23MB,APLIPHONE15256P,279.3242057000018
23MA,APLIPHONE15256P,107.18016798785459
23NA,APLIPHONE15256P,240.8091168290779
23MC,APLIPHONE15256P,178.15434878436713
23MD,APLIPHONE15PMAX256,486.249664802673
23MA,APLIPHONE15PMAX256,358.3917881296255
23NC,APLIPHONE15PMAX256,448.4815331385111
23NB,APLIPHONE15PRO128B,377.86821985983187
23MC,APLIPHONE15PRO128B,227.70179994398768
23NB,APLIPHONE15PRO128N,313.8508875257711
23MC,APLIPHONE15PRO128N,144.31591546777486
23NB,APLIPHONE15PRO128W,254.36564492274235
23MC,APLIPHONE15PRO128W,83.45748205654007
23NA,APLIPHONE15PRO256,415.07130024158454
23NB,GGOPIXEL7A,660.1927499154406
23NC,GGOPIXEL7A,621.3993914723218
23MC,GGOPIXEL7A,406.09718252607354
23NB,GGOPIXEL7AW,299.88663693963633
23NC,GGOPIXEL7AW,260.76306593685274
23MC,GGOPIXEL7AW,76.33413091031207
23MB,GGOPIXEL8128G,0.0
23MA,GGOPIXEL8128G,0.0
23NA,GGOPIXEL8128G,0.0
23MA,GGOPIXEL8256,0.0
23MA,GGOPIXEL8256P,0.0
23MD,GGOPIXEL8PRO128,25.859666211392096
23MA,GGOPIXEL8PRO128,0.0
23NC,GGOPIXEL8PRO128,0.0
23MA,GGOPIXEL8PRO256B,0.0
23MA,GGOPIXEL8PRO256W,0.0
23NB,H3G12LITEGR,267.355673314226
23NA,H3G12LITEGR,111.71588075564756
23MC,H3G12LITEGR,132.63140774890132
23MD,H3GREDMIA2B,306.2547589470681
23NC,H3GREDMIA2B,304.1720324353266
23NB,H3GS23ULTRA256,0.0
23MC,H3GS23ULTRA256,0.0
23MA,H3GSAMA1464G,264.94226745206987
23NA,H3GSAMA1464G,326.400663297259
23NC,H3GSAMA1464G,421.00166728943435
23MC,H3GSAMA1464G,295.7958487644128
23MA,H3GSAMA1464S,341.6001851407648
23NA,H3GSAMA1464S,353.72328100141203
23NC,H3GSAMA1464S,443.95061598354954
23MC,H3GSAMA1464S,372.3382450595668
23MD,HOR708256GR,26.223632715198733
23MD,HOR90LITE8256,834.7379632424847
23NB,HOR90LITE8256,889.030220280436
23MD,HORX6A4128,754.2474255818904
23MA,HORX6A4128,683.582774108077
23NC,HORX6A4128,946.8035205281128
23MC,HORX6A4128,777.2517820816026
23MB,HORX8A,992.1997510114752
23NA,HORX8A,831.6170858462069
23NC,HORX8A,971.4570672462249
23MB,HORX8AS,820.0375428951717
23NA,HORX8AS,655.8671580588386
23NC,HORX8AS,821.9288033704042
23MD,MOTE13,1056.3301082325147
23NB,MOTE13,1047.4383604522122
23MA,MOTE13,870.3956054687204
23NA,MOTE13,978.9150897510817
23NC,MOTE13,832.8137006942798
23MC,MOTE13,951.88367996007
23MD,MOTE13W,313.6781751904206
